Organism,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster
Dosage,0 pfu,0 pfu,0 pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,0 pfu,0 pfu,0 pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu
Time,0 dpi,0 dpi,0 dpi,2 dpi,2 dpi,2 dpi,3 dpi,3 dpi,3 dpi,2 dpi,2 dpi,2 dpi,3 dpi,3 dpi,3 dpi,0 dpi,0 dpi,0 dpi,2 dpi,2 dpi,2 dpi,3 dpi,3 dpi,3 dpi,5 dpi,5 dpi,5 dpi,14 dpi,14 dpi,14 dpi
replicate,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
celltype_rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutrophils,-0.060603272,0.3471323,-0.37874347,-1.2898618,-1.0822732,-1.2932954,-0.7560715,-0.7004285,-0.60736305,-1.8713228,-1.9095958,-1.8817301,-0.82625306,-0.98413664,-0.6945362,0.06968019,0.0030868794,-0.07647202,-0.48779786,-0.37936682,-0.28011188,0.12855591,0.22385515,0.13625848,-0.29431435,-0.074520625,-0.2992863,0.0033427349,0.072232395,-0.18729535
Mast cells,-0.9737702,,,-1.2504148,-1.3465915,-1.3055753,-0.15861897,-0.4852183,-0.81080735,-1.1935128,-1.3488045,-1.3064958,-0.66627795,-0.8524912,-0.7888224,,,,,,,,,,,,,,,
Erythrocytes,-0.16184258,0.2566166,-0.1337749,-1.0012139,-0.2695172,-0.2894131,-0.035448927,-0.7770605,0.36169377,-3.5494788,-1.5653638,-2.1692817,-2.2235322,-1.7151277,0.28423896,-0.07640021,0.18701687,-0.1310424,-0.43047938,0.59447795,-0.12527403,0.8708888,0.8287628,0.69926584,,,,0.038240504,0.13878988,-0.1441374
Fibroblasts,0.06555353,,0.037217315,-0.5626844,-0.4840703,0.02403803,-0.41107908,0.2027991,-0.45925364,-1.5022196,,,-0.08277954,-0.37929857,,,,-0.22050466,-0.5587176,-0.054716654,-0.2516411,0.014682861,-0.17454825,-0.10391663,,-0.5652808,-0.19167493,-1.1568087,-0.37220898,-0.06694018
pDC,0.14923482,,,-0.27577364,-0.13466732,-0.04838934,-0.16191675,-0.26376614,-0.20373963,-0.22043642,-0.5510247,-0.47903383,-0.39942032,-0.43221864,-0.23542276,,0.047069646,-0.048657384,-0.59463453,-0.72277194,-0.148076,-0.16840862,-0.04102353,-0.039074138,-0.6320181,-0.59105885,-0.68953604,0.055696998,0.10620221,0.0365766
cDC,0.20669991,-0.021542732,-0.21628992,-0.18794729,-0.034473564,-0.5229172,-0.09011863,-0.37207687,-0.042870764,-0.20360366,-0.5617801,-0.32020143,-0.20476322,-0.28267962,-0.23345643,0.056232024,-0.04336143,-0.01470065,-0.27665654,-0.11731796,-0.10736751,-0.086981416,-0.0013026686,-0.058468755,-0.5521574,-0.5276216,-0.6634323,0.11390142,0.09418934,-0.094791874
Macrophages,0.088265315,-0.14564349,0.04674634,-0.27112567,-0.33527994,-0.34425825,-0.027513407,-0.17909847,-0.17590693,-0.63470936,-0.6332405,-0.6789988,-0.1553743,-0.29789454,-0.099578604,0.0047523,0.035098772,-0.040862523,-0.10018001,0.021205526,-0.040991418,0.10389478,0.1467262,0.08476525,-0.3882321,-0.39160845,-0.47812092,0.16184922,0.07128624,0.0104231015
T cells,0.06299738,-0.04026535,-0.024897939,-0.010001585,0.055410706,0.051534735,-0.08778466,-0.3048141,-0.11605816,-0.60092145,-0.7535264,-0.31497332,-0.22491865,-0.23700419,-0.22098064,0.020299746,0.021950508,-0.043202195,-0.34747732,0.07779903,0.08161622,0.07277277,0.09768544,0.080811836,-0.3245124,-0.41871575,-0.605661,0.055895217,0.084172405,0.06704762
