
GSM4946600	Uninfected animal #1	lung sample for bulk RNA-seq
GSM4946601	Uninfected animal #2	lung sample for bulk RNA-seq
GSM4946602	Uninfected animal #3	lung sample for bulk RNA-seq
GSM4946603	Uninfected animal #1	blood sample for bulk RNA-seq
GSM4946604	Uninfected animal #2	blood sample for bulk RNA-seq
GSM4946605	Uninfected animal #3	blood sample for bulk RNA-seq
GSM4946606	2dpi animal #1	lung sample for bulk RNA-seq
GSM4946607	2dpi animal #2	lung sample for bulk RNA-seq
GSM4946608	2dpi animal #3	lung sample for bulk RNA-seq
GSM4946609	2dpi animal #1	blood sample for bulk RNA-seq
GSM4946610	2dpi animal #2	blood sample for bulk RNA-seq
GSM4946611	2dpi animal #3	blood sample for bulk RNA-seq
GSM4946612	3dpi animal #1	lung sample for bulk RNA-seq
GSM4946613	3dpi animal #2	lung sample for bulk RNA-seq
GSM4946614	3dpi animal #3	lung sample for bulk RNA-seq
GSM4946615	3dpi animal #1	blood sample for bulk RNA-seq
GSM4946616	3dpi animal #2	blood sample for bulk RNA-seq
GSM4946617	3dpi animal #3	blood sample for bulk RNA-seq
GSM4946618	5dpi animal #1	lung sample for bulk RNA-seq
GSM4946619	5dpi animal #2	lung sample for bulk RNA-seq
GSM4946620	5dpi animal #3	lung sample for bulk RNA-seq
GSM4946621	5dpi animal #1	blood sample for bulk RNA-seq
GSM4946622	5dpi animal #2	blood sample for bulk RNA-seq
GSM4946623	14dpi animal #1	lung sample for bulk RNA-seq
GSM4946624	14dpi animal #2	lung sample for bulk RNA-seq
GSM4946625	14dpi animal #3	lung sample for bulk RNA-seq
GSM4946626	14dpi animal #1	blood sample for bulk RNA-seq
GSM4946627	14dpi animal #2	blood sample for bulk RNA-seq
GSM4946628	14dpi animal #3	blood sample for bulk RNA-seq
GSM4946629	Uninfected animal #1	lung sample for single-cell RNA-seq
GSM4946630	Uninfected animal #2	lung sample for single-cell RNA-seq
GSM4946631	Uninfected animal #3	lung sample for single-cell RNA-seq
GSM4946632	Uninfected animal #1	blood sample for single-cell RNA-seq
GSM4946633	Uninfected animal #2	blood sample for single-cell RNA-seq
GSM4946634	Uninfected animal #3	blood sample for single-cell RNA-seq
GSM4946635	2dpi animal #1	lung sample for single-cell RNA-seq
GSM4946636	2dpi animal #2	lung sample for single-cell RNA-seq
GSM4946637	2dpi animal #3	lung sample for single-cell RNA-seq
GSM4946638	2dpi animal #1	blood sample for single-cell RNA-seq
GSM4946639	2dpi animal #2	blood sample for single-cell RNA-seq
GSM4946640	2dpi animal #3	blood sample for single-cell RNA-seq
GSM4946641	3dpi animal #1	lung sample for single-cell RNA-seq
GSM4946642	3dpi animal #2	lung sample for single-cell RNA-seq
GSM4946643	3dpi animal #3	lung sample for single-cell RNA-seq
GSM4946644	3dpi animal #1	blood sample for single-cell RNA-seq
GSM4946645	3dpi animal #2	blood sample for single-cell RNA-seq
GSM4946646	3dpi animal #3	blood sample for single-cell RNA-seq
GSM4946647	5dpi animal #1	lung sample for single-cell RNA-seq
GSM4946648	5dpi animal #2	lung sample for single-cell RNA-seq
GSM4946649	5dpi animal #3	lung sample for single-cell RNA-seq
GSM4946650	5dpi animal #1	blood sample for single-cell RNA-seq
GSM4946651	5dpi animal #2	blood sample for single-cell RNA-seq
GSM4946652	5dpi animal #3	blood sample for single-cell RNA-seq
GSM4946653	14dpi animal #1	lung sample for single-cell RNA-seq
GSM4946654	14dpi animal #2	lung sample for single-cell RNA-seq
GSM4946655	14dpi animal #3	lung sample for single-cell RNA-seq
GSM4946656	14dpi animal #1	blood sample for single-cell RNA-seq
GSM4946657	14dpi animal #2	blood sample for single-cell RNA-seq
GSM4946658	14dpi animal #3	blood sample for single-cell RNA-seq
